GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-IG2_AML	avg-IG2_cellHarmony-Reference
ENSMUSG00000038970	En	2.05481454802	0.000201248401156	0.0227250406969	Lmtk2	2.12038383454	0.06556928652
ENSMUSG00000032265	En	-3.27031752575	0.000204764949436	0.0229193048667	Fam46a	1.14642775677	4.41674528252
ENSMUSG00000079845	En	3.91466155917	0.000209904682426	0.0232902934588	Xlr4a	4.72186132277	0.8071997636
ENSMUSG00000032089	En	2.56277197462	0.000221745254265	0.0243919779691	Il10ra	2.56277197462	0.0
ENSMUSG00000090159	En	2.03941160357	0.000236485480111	0.0257910660361	Gm8580	3.02766328777	0.9882516842
ENSMUSG00000002699	En	3.6065476754	0.000245683833623	0.0265671670935	Lcp2	5.38669633008	1.78014865468
ENSMUSG00000020644	En	3.04583032772	0.000251557827478	0.0269737636859	Id2	3.443250328	0.39742000028
ENSMUSG00000028309	En	-3.23882766603	0.000257064082245	0.0273344807454	Rnf20	0.815473070692	4.05430073672
ENSMUSG00000015970	En	-2.46067060924	0.000262270868095	0.0276576551809	Chdh	0.106022281	2.56669289024
ENSMUSG00000060550	En	3.686885339	0.000296277973005	0.0309877617668	H2-Q7	6.11194174908	2.42505641008
ENSMUSG00000022941	En	-1.44660393007	0.00030613754441	0.0316137218331	Ripply3	1.64885151985	3.09545544992
ENSMUSG00000042524	En	-2.52111221966	0.000307217986466	0.0316137218331	Sun2	0.273326406615	2.79443862628
ENSMUSG00000025453	En	-3.19260610953	0.000324443320613	0.0328585878293	Nnt	0.778789091308	3.97139520084
ENSMUSG00000019471	En	-2.50809782745	0.000325116367613	0.0328585878293	Cdc37	3.57598078923	6.08407861668
ENSMUSG00000029672	En	2.49374764001	0.00032704080363	0.0328585878293	Fam3c	4.63320884669	2.13946120668
ENSMUSG00000067916	En	3.0350336755	0.000331618993554	0.0330582684199	Gm13139	5.68081291346	2.64577923796
ENSMUSG00000079435	En	0.801294873668	0.00034555636147	0.0338141088627	Rpl36a	10.8430808623	10.0417859886
ENSMUSG00000028459	En	3.56150200392	0.000346061750967	0.0338141088627	Cd72	4.315472475	0.75397047108
ENSMUSG00000022995	En	1.6388986098	0.000347151117635	0.0338141088627	Enah	1.81020062692	0.17130201712
ENSMUSG00000024661	En	0.633406400997	0.000368594280436	0.0356307804422	Fth1	11.3650732131	10.7316668121
ENSMUSG00000025193	En	3.25357837435	0.000404318081025	0.0387902158938	Cutc	3.81437819615	0.5607998218
ENSMUSG00000020044	En	2.49514105377	0.000412099942457	0.0392417557146	Timp3	2.49514105377	0.0
ENSMUSG00000026815	En	3.52896544506	0.000431433155027	0.0407784226529	Gfi1b	3.80826693762	0.27930149256
ENSMUSG00000024393	En	-1.59346482747	0.000438290875867	0.0408409335313	Prrc2a	0.289886507846	1.88335133532
ENSMUSG00000032578	En	3.04398855092	0.000441696616561	0.0408409335313	Cish	3.58361192492	0.539623374
ENSMUSG00000030246	En	-3.96357142872	0.000457841457131	0.0420291869999	Ldhb	0.0	3.96357142872
ENSMUSG00000026748	En	1.69943007054	0.000462611070386	0.0421636947009	Plxdc2	1.69943007054	0.0
ENSMUSG00000004558	En	2.44293757977	0.000472143227329	0.0427272878066	Ndrg2	2.44293757977	0.0
ENSMUSG00000039315	En	3.0012056402	0.000486330476141	0.0437012456025	Clnk	3.41921583192	0.41801019172
ENSMUSG00000029484	En	-3.46650736173	0.000498199931965	0.0443334203939	Anxa3	3.39997574723	6.86648310896
ENSMUSG00000071547	En	-3.03216334503	0.000500314462125	0.0443334203939	Nt5dc2	0.150891594846	3.18305493988
ENSMUSG00000027248	En	-2.35638385026	0.000521981434335	0.0459343662214	Pdia3	6.93115728862	9.28754113888
Kmt2d	Sy	-1.16003584745	0.000536460869642	0.0465974441479	Kmt2d	3.87354147123	5.03357731868
ENSMUSG00000026864	En	-2.32404454646	0.000536820085403	0.0465974441479	Hspa5	7.36911821838	9.69316276484
ENSMUSG00000023367	En	4.05604223771	0.000545123650968	0.0469984985565	Tmem176a	7.82656646323	3.77052422552
ENSMUSG00000015355	En	2.12524720643	0.000575778666078	0.0492699829767	Cd48	10.4679937172	8.34274651072
ENSMUSG00000028163	En	3.50635623036	0.000586177693303	0.0492699829767	Nfkb1	6.771215655	3.26485942464
ENSMUSG00000040314	En	-1.40271214971	0.000586871689812	0.0492699829767	Ctsg	9.39100928185	10.7937214316
ENSMUSG00000023243	En	2.47371345278	0.000586915157716	0.0492699829767	Kcnk5	2.68481796762	0.21110451484
